hIp1,hRs1,nbSlow,rescuedDynamicFastMed,rescuedDynamicMax,rescuedDynamicMed,rescuedDynamicMin,rescuedDynamicSlowMed,zombifiedDynamicMed
0.8,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.2,50,4.0,12.0,4.0,0.0,0.0,5.0
0.8,0.2,50,29.5,51.0,33.0,19.0,4.0,6.5
0.8,0.2,50,25.0,49.0,28.5,11.0,3.5,11.0
0.8,0.2,50,17.0,42.0,19.0,8.0,1.5,17.0
0.8,0.2,50,15.5,31.0,16.5,2.0,1.0,14.0
0.8,0.2,50,10.5,21.0,11.0,0.0,1.5,15.0
0.8,0.2,50,6.5,16.0,8.0,0.0,1.0,6.5
0.8,0.2,50,2.0,10.0,2.5,0.0,0.0,8.0
0.8,0.2,50,1.0,6.0,1.0,0.0,0.0,4.5
0.8,0.2,50,0.0,3.0,0.5,0.0,0.0,2.0
0.8,0.2,50,0.0,3.0,0.0,0.0,0.0,2.5
0.8,0.2,50,0.0,3.0,0.0,0.0,0.0,1.5
0.8,0.2,50,0.0,3.0,0.0,0.0,0.0,0.0
0.8,0.2,50,0.0,1.0,0.0,0.0,0.0,0.0
0.8,0.2,50,0.0,1.0,0.0,0.0,0.0,0.0
0.8,0.2,50,0.0,1.0,0.0,0.0,0.0,0.0
0.8,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.2,50,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.2,50,4.0,11.0,4.5,0.0,0.0,4.0
0.9,0.2,50,28.5,57.0,31.5,26.0,3.0,8.0
0.9,0.2,50,22.0,54.0,27.5,9.0,4.0,12.5
